timestamp,mid,spread,depth,volume
1747574723.435296,2511.995,0.010000000000218279,1783.06,2084.7999999999997
1747574723.5069962,2511.995,0.010000000000218279,1246.46,1347.26
1747574723.5219321,2511.995,0.010000000000218279,1256.48,1408.73
1747574723.5404904,2511.995,0.010000000000218279,1305.32,1601.46
1747574723.6492586,2511.815,0.010000000000218279,2419.81,3586.27
1747574723.7655225,2511.815,0.010000000000218279,2391.41,2611.69
1747574723.848236,2511.775,0.010000000000218279,2552.55,2883.3900000000003
1747574723.9370475,2511.775,0.010000000000218279,2483.62,2737.9199999999996
1747574724.0369911,2511.775,0.010000000000218279,2499.3,2739.0299999999997
1747574724.1319225,2511.775,0.010000000000218279,2493.93,2772.89
1747574724.2313926,2511.775,0.010000000000218279,2494.0,2772.96
1747574724.3302033,2511.775,0.010000000000218279,2494.02,2772.9799999999996
1747574724.436868,2511.775,0.010000000000218279,2312.63,2568.0599999999995
1747574724.5377023,2511.775,0.010000000000218279,2321.71,2605.8399999999992
1747574724.637352,2511.775,0.010000000000218279,2321.71,3095.8399999999992
1747574724.7371979,2511.775,0.010000000000218279,2613.46,2898.5599999999995
1747574724.8398623,2511.775,0.010000000000218279,2484.83,2765.949999999999
1747574724.9498646,2511.605,0.010000000000218279,852.22,1267.56
1747574725.0427845,2511.605,0.010000000000218279,1424.87,1884.56
1747574725.1426647,2511.605,0.010000000000218279,1395.36,1815.2399999999998
1747574725.2413735,2511.605,0.010000000000218279,1316.34,1785.6299999999999
1747574725.333951,2511.605,0.010000000000218279,1316.34,1576.1799999999998
1747574725.4320107,2511.605,0.010000000000218279,1317.92,1577.7599999999998
1747574725.5311866,2511.605,0.010000000000218279,1312.31,1572.1599999999999
1747574725.6324651,2511.605,0.010000000000218279,1284.4,1544.25
1747574725.7314916,2511.605,0.010000000000218279,1282.6100000000001,1542.46
1747574725.8307564,2511.605,0.010000000000218279,1284.8,1449.26
1747574725.9320586,2511.605,0.010000000000218279,1130.68,1394.1399999999999
1747574726.0373948,2511.605,0.010000000000218279,1401.37,1664.8299999999997
1747574726.1320956,2511.605,0.010000000000218279,1392.6599999999999,1656.12
1747574726.231612,2511.605,0.010000000000218279,1394.58,1657.0099999999998
1747574726.331949,2511.605,0.010000000000218279,1495.32,1757.7499999999998
1747574726.4311192,2511.605,0.010000000000218279,1438.44,2574.34
1747574726.5312095,2511.605,0.010000000000218279,1440.29,2576.1899999999996
1747574726.6382678,2511.605,0.010000000000218279,2030.75,2931.8
1747574726.7318842,2511.605,0.010000000000218279,2030.75,2931.7999999999997
1747574726.8309088,2511.605,0.010000000000218279,1989.8899999999999,2890.9399999999996
1747574726.9317398,2511.605,0.010000000000218279,1989.51,2890.5600000000004
1747574727.0309172,2511.605,0.010000000000218279,1990.74,2891.79
1747574727.1306899,2511.605,0.010000000000218279,1989.76,2890.8100000000004
1747574727.2316415,2511.605,0.010000000000218279,1989.88,2890.9300000000003
1747574727.330874,2511.605,0.010000000000218279,1738.1200000000001,2639.17
1747574727.4366758,2511.605,0.010000000000218279,1395.31,2296.36
1747574727.54266,2511.605,0.010000000000218279,1449.8700000000001,2288.54
1747574727.8899884,2511.755,0.010000000000218279,1955.4,2542.02
1747574727.8899884,2511.755,0.010000000000218279,1900.71,2487.33
1747574727.8914948,2511.755,0.010000000000218279,1951.91,2362.84
1747574728.001529,2511.755,0.010000000000218279,1607.9299999999998,1936.04
1747574728.0428348,2511.755,0.010000000000218279,1466.42,1794.5300000000002
1747574728.1362057,2511.755,0.010000000000218279,932.4,1378.69
1747574728.2313123,2511.755,0.010000000000218279,932.4,1378.69
1747574728.33722,2511.755,0.010000000000218279,1283.21,1729.5
1747574728.43169,2511.755,0.010000000000218279,1324.51,1667.48
1747574728.7849011,2511.755,0.010000000000218279,1159.59,1502.56
1747574728.7849011,2511.755,0.010000000000218279,1506.31,2455.25
1747574728.7858899,2511.755,0.010000000000218279,1482.83,1954.0700000000002
1747574728.8902128,2511.755,0.010000000000218279,1664.87,2126.99
1747574728.9383113,2511.755,0.010000000000218279,1373.35,1841.69
1747574729.0372078,2511.755,0.010000000000218279,1334.52,1802.86
1747574729.1316736,2511.755,0.010000000000218279,1185.21,1653.5499999999997
1747574729.2371874,2511.755,0.010000000000218279,1174.15,1642.4899999999998
1747574729.3318453,2511.755,0.010000000000218279,1174.22,1642.56
1747574729.431012,2511.755,0.010000000000218279,1163.79,1632.1299999999997
1747574729.5309966,2511.755,0.010000000000218279,1234.82,1703.1599999999999
1747574729.6373277,2511.755,0.010000000000218279,1267.23,1735.5699999999997
1747574729.785649,2511.585,0.010000000000218279,1673.06,1863.5199999999995
1747574729.842284,2511.585,0.010000000000218279,2032.65,2242.66
1747574729.9414794,2511.585,0.010000000000218279,1381.3600000000001,1660.33
1747574730.0465844,2511.585,0.010000000000218279,1278.84,1557.81
1747574730.3894937,2511.585,0.010000000000218279,1255.29,1534.2599999999998
1747574730.3894937,2511.585,0.010000000000218279,1204.1799999999998,1460.0099999999998
1747574730.390523,2511.585,0.010000000000218279,1298.05,1553.8799999999999
1747574730.482237,2511.585,0.010000000000218279,1298.1799999999998,1702.21
1747574730.5411673,2511.585,0.010000000000218279,1297.44,1729.39
1747574730.6370478,2511.585,0.010000000000218279,1728.35,2160.3
1747574730.7313836,2511.585,0.010000000000218279,1718.58,2150.53
1747574730.8321245,2511.585,0.010000000000218279,1720.43,2152.38
1747574730.9368317,2511.585,0.010000000000218279,1707.6100000000001,1994.53
1747574731.036123,2511.585,0.010000000000218279,1710.31,2031.5
